99 -82.077686
125 39.542942
279 -5.129890
280 -3.012676
283 3.933356
321 -20.507586
62 6.538690
101 -5.825816
104 -11.048639
185 -5.342201
305 26.957764
328 -5.710805
362 -5.232101
372 -5.018540
7 270.391192
16 36.672603
170 -10.744566
188 9.050001
198 -6.593618
351 34.556703
354 -4.612758
382 -6.080290
316 -5.832660
30 97.051415
50 79.342144
77 75.542000
90 -156.533918
106 -9.192635
112 -3.680083
337 -9.280279
49 -1314.834269
128 -2.925604
176 -29.649964
218 29.279641
291 62.054478
348 4.733105
366 -2.516151
389 -4.140712
18 -31.972480
118 -0.219259
247 -10.233752
391 -7.690122
42 23.431703
83 131.260557
159 -16.258013
190 -8.903167
269 11.791163
347 -4.299473
75 87.905082
98 -189.131989
231 -0.428736
256 0.919608
361 -1.653729
0 8197.580263
73 -107.280899
111 8.959528
145 11.905212
152 -4.825870
158 2.449833
318 11.062350
363 -9.552868
22 72.808924
63 3.666843
85 13.618071
147 2.821563
183 -2.425375
187 8.074861
237 -3.996500
255 -5.594492
28 52.010168
195 -5.001470
232 11.030490
303 -9.959305
317 0.104190
336 -2.862010
352 1.965943
369 -3.192147
162 -3.553335
241 19.355896
295 0.058066
310 -8.988971
356 13.509324
376 -13.987503
1 4663.624590
65 -54.133243
78 -133.610557
84 70.805491
114 -6.232975
209 23.660534
210 17.728898
322 0.155899
17 164.732939
31 128.041034
94 120.968459
133 -13.414654
139 -2.063449
265 27.094583
284 -14.191475
345 -3.340777
121 -10.222528
203 2.411341
208 15.168735
254 10.949259
61 56.816238
119 12.353845
126 -2.832489
150 11.862745
174 -2.916631
207 -4.337734
262 8.233417
349 5.077204
234 7.406126
268 -1.345132
278 -4.709848
330 -8.510313
373 -10.108612
91 -7.794193
135 0.058629
5 551.781089
157 5.162489
298 26.733302
383 13.640365
396 3.875140
151 26.059054
235 -6.094424
277 1.015418
8 77.197963
29 138.517890
32 -164.026971
156 3.550754
226 -13.271099
294 18.825922
324 8.729011
390 0.654859
6 163.450479
9 372.320840
64 -10.492099
88 -11.647602
96 -23.953731
229 7.384197
290 -2.322694
358 10.617461
15 157.138278
120 -6.828591
123 2.177520
153 -7.388119
245 -4.643511
367 19.033226
384 -1.977543
76 56.692504
103 25.865172
142 -3.765119
172 4.236751
212 16.833267
213 -4.353952
239 -4.964812
272 14.175274
58 90.523020
132 -8.013259
161 9.278025
249 13.883794
340 -5.793423
357 -4.079523
399 -14.280904
34 65.332010
54 -15.336156
137 4.094176
238 4.462507
377 3.576929
38 99.829008
177 4.824497
214 20.516918
51 12.688381
113 1.572970
148 19.086306
166 10.056781
193 5.772343
251 -7.528250
312 18.125554
334 -0.886920
109 4.790352
240 -3.679332
242 -1.891085
253 -6.441592
285 30.842487
353 -5.864917
388 5.291805
